0;7;1;1047;1
0;7;6;1430;1
0;1;1;2160;2
0;1;6;2558;2
0;4;1;979;1
0;4;6;1241;1
30;7;1;2413;2
30;7;6;2247;2
30;1;1;2478;2
30;1;6;2812;2
30;8;1;1396;1
30;8;6;1247;1
60;3;1;1376;1
60;3;6;1421;1
60;4;1;983;1
60;4;6;1472;1
60;7;1;2321;2
60;7;6;2581;2
60;2;1;1437;1
60;2;6;1256;1
90;3;1;2771;2
90;3;6;2732;2
90;6;1;2733;2
90;6;6;2341;2
90;4;1;2466;2
90;4;6;2758;2
120;4;1;1402;1
120;4;6;1019;1
120;8;1;2110;2
120;8;6;2457;2
120;1;1;1169;1
120;1;6;1122;1
120;7;1;1235;1
120;7;6;1154;1
120;5;1;1183;1
120;5;6;1207;1
150;3;1;1312;1
150;3;6;1343;1
150;7;1;1139;1
150;7;6;1148;1
150;2;1;941;1
150;2;6;941;1
150;1;1;2337;2
150;1;6;2619;2
150;4;1;953;1
150;4;6;1427;1
180;8;1;1187;1
180;8;6;1375;1
180;4;1;3747;3
180;4;6;2974;3
180;7;1;4095;3
180;7;6;3762;3
210;3;1;1975;2
210;3;6;2430;2
210;5;1;2707;2
210;5;6;2454;2
210;1;1;1454;1
210;1;6;1092;1
210;6;1;1314;1
210;6;6;1458;1
240;8;1;1384;1
240;8;6;1013;1
240;3;1;1478;1
240;3;6;1122;1
270;7;1;4885;4
270;7;6;4568;4
270;3;1;1293;1
270;3;6;1457;1
270;4;1;1234;1
270;4;6;1348;1
270;2;1;1175;1
270;2;6;1421;1
300;8;1;1005;1
300;8;6;1291;1
300;3;1;3513;3
300;3;6;3741;3
330;2;1;2571;2
330;2;6;2060;2
330;8;1;2269;2
330;8;6;2690;2
330;3;1;1016;1
330;3;6;1335;1
330;7;1;2262;2
330;7;6;2140;2
360;5;1;987;1
360;5;6;1058;1
360;8;1;1191;1
360;8;6;950;1
360;3;1;1407;1
360;3;6;1323;1
360;7;1;1994;2
360;7;6;2359;2
360;4;1;1186;1
360;4;6;1291;1
360;1;1;2280;2
360;1;6;2618;2
390;5;1;3458;3
390;5;6;3205;3
390;1;1;4851;4
390;1;6;5128;4
390;7;1;986;1
390;7;6;1272;1
420;5;1;3772;3
420;5;6;2927;3
420;2;1;1296;1
420;2;6;1152;1
420;8;1;2617;2
420;8;6;2471;2
420;7;1;2652;2
420;7;6;2408;2
420;3;1;1190;1
420;3;6;1125;1
450;1;1;2284;2
450;1;6;2714;2
450;8;1;1146;1
450;8;6;1198;1
450;7;1;3962;3
450;7;6;3740;3
450;6;1;1320;1
450;6;6;1449;1
480;2;1;4083;3
480;2;6;3343;3
480;8;1;967;1
480;8;6;1453;1
480;3;1;2706;2
480;3;6;2555;2
480;1;1;2076;2
480;1;6;2174;2
480;7;1;1356;1
480;7;6;1223;1
510;1;1;2393;2
510;1;6;2446;2
510;7;1;2455;2
510;7;6;2783;2
510;3;1;2228;2
510;3;6;2821;2
510;8;1;1285;1
510;8;6;940;1
540;8;1;1121;1
540;8;6;1229;1
540;7;1;2563;2
540;7;6;2699;2
540;3;1;3624;3
540;3;6;3701;3
540;2;1;1015;1
540;2;6;1106;1
540;4;1;1445;1
540;4;6;1379;1
570;3;1;1386;1
570;3;6;1151;1
570;4;1;1133;1
570;4;6;1312;1
570;8;1;3505;3
570;8;6;3331;3
570;5;1;1460;1
570;5;6;970;1
570;7;1;2575;2
570;7;6;2218;2
600;3;1;1378;1
600;3;6;1424;1
600;7;1;2097;2
600;7;6;2691;2
600;1;1;1144;1
600;1;6;1379;1
600;2;1;1324;1
600;2;6;1266;1
600;8;1;1423;1
600;8;6;943;1
600;4;1;1048;1
600;4;6;1440;1
600;6;1;981;1
600;6;6;1017;1
630;7;1;3945;3
630;7;6;3047;3
630;1;1;3575;3
630;1;6;3754;3
630;4;1;1000;1
630;4;6;1126;1
660;7;1;3573;3
660;7;6;3290;3
660;1;1;2392;2
660;1;6;2153;2
660;8;1;1217;1
660;8;6;1349;1
660;3;1;1186;1
660;3;6;1472;1
660;5;1;1456;1
660;5;6;1445;1
690;8;1;6598;5
690;8;6;6031;5
690;1;1;2416;2
690;1;6;2398;2
690;4;1;1456;1
690;4;6;1045;1
690;7;1;1011;1
690;7;6;1277;1
720;3;1;3281;3
720;3;6;3831;3
720;5;1;1242;1
720;5;6;1351;1
720;7;1;1467;1
720;7;6;1248;1
720;2;1;2478;2
720;2;6;2822;2
720;8;1;1411;1
720;8;6;1098;1
750;3;1;3740;3
750;3;6;4073;3
750;4;1;1100;1
750;4;6;1454;1
750;5;1;1333;1
750;5;6;1286;1
750;7;1;2959;2
750;7;6;2338;2
750;8;1;1367;1
750;8;6;1024;1
750;1;1;1023;1
750;1;6;1391;1
780;7;1;2033;2
780;7;6;2632;2
780;8;1;1172;1
780;8;6;1467;1
780;5;1;1473;1
780;5;6;1107;1
780;6;1;2467;2
780;6;6;2506;2
780;3;1;1284;1
780;3;6;1419;1
780;2;1;1419;1
780;2;6;1203;1
810;1;1;2041;2
810;1;6;2483;2
810;5;1;1371;1
810;5;6;1200;1
840;7;1;1435;1
840;7;6;1401;1
840;3;1;4787;4
840;3;6;4928;4
840;5;1;1417;1
840;5;6;1434;1
840;4;1;2462;2
840;4;6;2420;2
870;8;1;1422;1
870;8;6;1414;1
870;3;1;994;1
870;3;6;1218;1
870;1;1;5203;4
870;1;6;4739;4
870;2;1;1178;1
870;2;6;1246;1
870;7;1;1004;1
870;7;6;1371;1
900;1;1;3729;3
900;1;6;3863;3
900;5;1;3584;3
900;5;6;3263;3
900;2;1;1413;1
900;2;6;1216;1
900;3;1;1339;1
900;3;6;1150;1
900;7;1;1216;1
900;7;6;1204;1
930;3;1;2441;2
930;3;6;2419;2
930;1;1;1075;1
930;1;6;1286;1
930;4;1;1162;1
930;4;6;1343;1
960;4;1;3544;3
960;4;6;3848;3
960;3;1;3375;3
960;3;6;3597;3
960;5;1;1049;1
960;5;6;1143;1
960;1;1;1148;1
960;1;6;1485;1
960;7;1;1171;1
960;7;6;1049;1
990;8;1;2520;2
990;8;6;2713;2
990;4;1;1324;1
990;4;6;1387;1
990;3;1;1485;1
990;3;6;1117;1
990;7;1;2454;2
990;7;6;2094;2
990;1;1;1231;1
990;1;6;1251;1
1020;7;1;2367;2
1020;7;6;2253;2
1020;1;1;2574;2
1020;1;6;2093;2
1020;8;1;2564;2
1020;8;6;2882;2
1020;6;1;1071;1
1020;6;6;1078;1
1020;2;1;1307;1
1020;2;6;1363;1
1020;3;1;1401;1
1020;3;6;1243;1
1050;7;1;2009;2
1050;7;6;2621;2
1050;1;1;2908;2
1050;1;6;2559;2
1050;6;1;968;1
1050;6;6;1164;1
1050;5;1;3536;3
1050;5;6;3457;3
1050;2;1;1060;1
1050;2;6;1209;1
1080;8;1;2425;2
1080;8;6;2718;2
1080;7;1;964;1
1080;7;6;1481;1
1080;1;1;945;1
1080;1;6;1151;1
1080;5;1;2059;2
1080;5;6;2158;2
1110;2;1;2583;2
1110;2;6;2155;2
1110;7;1;1351;1
1110;7;6;1087;1
1110;4;1;1044;1
1110;4;6;1049;1
1140;3;1;6342;5
1140;3;6;5747;5
1140;2;1;1402;1
1140;2;6;938;1
1140;6;1;966;1
1140;6;6;1029;1
1140;7;1;1061;1
1140;7;6;1442;1
1140;8;1;1189;1
1140;8;6;1430;1
1170;4;1;992;1
1170;4;6;1124;1
1170;7;1;3503;3
1170;7;6;3646;3
1170;1;1;1416;1
1170;1;6;1342;1
1170;8;1;1024;1
1170;8;6;961;1
1170;5;1;991;1
1170;5;6;1091;1
1170;2;1;1460;1
1170;2;6;986;1
1200;4;1;2520;2
1200;4;6;2339;2
1200;1;1;1096;1
1200;1;6;1085;1
1200;3;1;1081;1
1200;3;6;1449;1
1200;8;1;971;1
1200;8;6;1035;1
1200;5;1;1103;1
1200;5;6;1023;1
1200;7;1;1049;1
1200;7;6;956;1
1200;6;1;1332;1
1200;6;6;958;1
1230;4;1;2415;2
1230;4;6;2317;2
1230;3;1;1089;1
1230;3;6;1095;1
1230;1;1;1243;1
1230;1;6;1318;1
1230;5;1;1295;1
1230;5;6;943;1
1230;2;1;1421;1
1230;2;6;1309;1
1230;7;1;2420;2
1230;7;6;2831;2
1260;4;1;2129;2
1260;4;6;2350;2
1260;1;1;2450;2
1260;1;6;2370;2
1260;3;1;1444;1
1260;3;6;1422;1
1290;2;1;1235;1
1290;2;6;1073;1
1290;3;1;2389;2
1290;3;6;2009;2
1290;7;1;2042;2
1290;7;6;2244;2
1290;1;1;1480;1
1290;1;6;1147;1
1290;4;1;1447;1
1290;4;6;1202;1
1320;8;1;2374;2
1320;8;6;2278;2
1320;5;1;1432;1
1320;5;6;1076;1
1320;4;1;5169;4
1320;4;6;4479;4
1320;3;1;947;1
1320;3;6;973;1
1350;5;1;1269;1
1350;5;6;1368;1
1350;3;1;3945;3
1350;3;6;3932;3
1350;1;1;1457;1
1350;1;6;1230;1
1350;7;1;2282;2
1350;7;6;2766;2
1350;4;1;1380;1
1350;4;6;943;1
1380;7;1;3493;3
1380;7;6;3706;3
1380;8;1;2924;2
1380;8;6;2542;2
1380;3;1;3831;3
1380;3;6;3611;3
1380;1;1;1479;1
1380;1;6;1177;1
1410;7;1;3382;3
1410;7;6;3506;3
1410;4;1;2465;2
1410;4;6;2555;2
1410;8;1;1255;1
1410;8;6;1466;1
1410;3;1;1040;1
1410;3;6;1409;1
1410;1;1;1253;1
1410;1;6;1392;1
1410;2;1;945;1
1410;2;6;1214;1
1440;7;1;3482;3
1440;7;6;2969;3
1440;2;1;4625;4
1440;2;6;4431;4
1440;4;1;1320;1
1440;4;6;1428;1
1440;3;1;1375;1
